NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 40EA,PI040298AD5G201248,2018-08-28 11:09:29,-1.0,32.62,15.22,51.75
Flower power 40EA,PI040298AD5G201248,2018-08-28 11:24:29,-1.0,39.13,15.09,50.36
Flower power 40EA,PI040298AD5G201248,2018-08-28 11:39:29,-1.0,31.89,15.35,51.68
Flower power 40EA,PI040298AD5G201248,2018-08-28 11:54:29,-1.0,60.41,15.22,51.2
Flower power 40EA,PI040298AD5G201248,2018-08-28 12:09:29,-1.0,25.97,15.48,51.99
Flower power 40EA,PI040298AD5G201248,2018-08-28 12:24:29,-1.0,23.85,15.22,52.3
Flower power 40EA,PI040298AD5G201248,2018-08-28 12:39:29,-1.0,22.47,15.48,53.69
Flower power 40EA,PI040298AD5G201248,2018-08-28 12:54:29,-1.0,21.77,15.35,51.99
Flower power 40EA,PI040298AD5G201248,2018-08-28 13:09:29,-1.0,18.26,15.48,54.14
Flower power 40EA,PI040298AD5G201248,2018-08-28 13:24:29,-1.0,18.14,15.48,52.67
Flower power 40EA,PI040298AD5G201248,2018-08-28 13:39:29,-1.0,16.79,15.35,53.18
Flower power 40EA,PI040298AD5G201248,2018-08-28 13:54:29,-1.0,16.02,15.22,52.05
Flower power 40EA,PI040298AD5G201248,2018-08-28 14:09:29,-1.0,13.22,15.22,52.42
Flower power 40EA,PI040298AD5G201248,2018-08-28 14:24:29,-1.0,104.85,15.6,50.3
Flower power 40EA,PI040298AD5G201248,2018-08-28 14:39:29,-1.0,177.0,15.48,49.76
Flower power 40EA,PI040298AD5G201248,2018-08-28 14:54:29,-1.0,112.59,15.6,45.82
Flower power 40EA,PI040298AD5G201248,2018-08-28 15:09:29,-1.0,142.92,15.35,44.8
Flower power 40EA,PI040298AD5G201248,2018-08-28 15:24:29,-1.0,7.64,15.73,46.25
Flower power 40EA,PI040298AD5G201248,2018-08-28 15:39:29,-1.0,110.16,15.73,44.16
Flower power 40EA,PI040298AD5G201248,2018-08-28 15:54:29,-1.0,54.58,15.48,41.61
Flower power 40EA,PI040298AD5G201248,2018-08-28 16:09:29,-1.0,89.39,15.6,41.66
Flower power 40EA,PI040298AD5G201248,2018-08-28 16:24:29,-1.0,81.19,15.35,38.84
Flower power 40EA,PI040298AD5G201248,2018-08-28 16:39:29,-1.0,59.68,15.73,38.6
Flower power 40EA,PI040298AD5G201248,2018-08-28 16:54:29,-1.0,61.42,15.6,36.18
Flower power 40EA,PI040298AD5G201248,2018-08-28 17:09:29,-1.0,58.72,15.35,35.13
Flower power 40EA,PI040298AD5G201248,2018-08-28 17:24:29,-1.0,10.24,15.86,27.76
Flower power 40EA,PI040298AD5G201248,2018-08-28 17:39:29,-1.0,8.81,15.73,26.06
Flower power 40EA,PI040298AD5G201248,2018-08-28 17:54:29,-1.0,7.5,15.6,25.38
Flower power 40EA,PI040298AD5G201248,2018-08-28 18:09:29,-1.0,6.17,15.6,24.75
Flower power 40EA,PI040298AD5G201248,2018-08-28 18:24:29,-1.0,4.73,15.86,24.06
Flower power 40EA,PI040298AD5G201248,2018-08-28 18:39:29,-1.0,3.15,15.6,23.37
Flower power 40EA,PI040298AD5G201248,2018-08-28 18:54:29,-1.0,1.56,15.6,22.68
Flower power 40EA,PI040298AD5G201248,2018-08-28 19:09:29,-1.0,0.41,15.48,22.07
Flower power 40EA,PI040298AD5G201248,2018-08-28 19:24:29,-1.0,0.1,15.48,21.64
Flower power 40EA,PI040298AD5G201248,2018-08-28 19:39:29,-1.0,0.1,15.35,21.36
Flower power 40EA,PI040298AD5G201248,2018-08-28 19:54:29,-1.0,0.1,15.6,21.36
Flower power 40EA,PI040298AD5G201248,2018-08-28 20:09:29,-1.0,0.1,15.48,21.31
Flower power 40EA,PI040298AD5G201248,2018-08-28 20:24:29,-1.0,0.1,15.35,21.12
Flower power 40EA,PI040298AD5G201248,2018-08-28 20:39:29,-1.0,0.1,15.35,21.07
Flower power 40EA,PI040298AD5G201248,2018-08-28 20:54:29,-1.0,0.1,15.6,21.03
Flower power 40EA,PI040298AD5G201248,2018-08-28 21:09:29,-1.0,0.1,15.09,20.79
Flower power 40EA,PI040298AD5G201248,2018-08-28 21:24:29,-1.0,0.1,15.09,20.83
Flower power 40EA,PI040298AD5G201248,2018-08-28 21:39:29,-1.0,0.1,15.09,21.03
Flower power 40EA,PI040298AD5G201248,2018-08-28 21:54:29,-1.0,0.1,15.48,20.98
Flower power 40EA,PI040298AD5G201248,2018-08-28 22:09:29,-1.0,0.1,15.48,20.88
Flower power 40EA,PI040298AD5G201248,2018-08-28 22:24:29,-1.0,0.1,15.6,20.79
Flower power 40EA,PI040298AD5G201248,2018-08-28 22:39:29,-1.0,0.1,15.35,20.83
Flower power 40EA,PI040298AD5G201248,2018-08-28 22:54:29,-1.0,0.1,15.35,20.88
Flower power 40EA,PI040298AD5G201248,2018-08-28 23:09:29,-1.0,0.1,15.48,20.98
Flower power 40EA,PI040298AD5G201248,2018-08-28 23:24:29,-1.0,0.1,15.22,20.79
Flower power 40EA,PI040298AD5G201248,2018-08-28 23:39:29,-1.0,0.1,15.6,20.88
Flower power 40EA,PI040298AD5G201248,2018-08-28 23:54:29,-1.0,0.1,15.48,20.74
